Type,Organization,Street Address,City,County,State,ZIP,Phone,Birds Accepted,Latitude,Longitude,Location Precision,License Status,Source
Organization,Bells Ferry Veterinary Hospital,6410 Highway 92,Acworth,Cherokee,GA,30102,770-926-5311,raptors,34.07068,-84.58941,street address (ZIP-level coordinate),On Georgia DNR Wildlife Resources Division permitted rehabilitators list — official state agency source,https://gadnrle.org/sites/default/files/le/pdf/Special-Permits/2024%20-3%20%20Q3.3%20July.pdf
Organization,Hawk Talk,6730 Union Hill Road,Canton,Cherokee,GA,30115,770-720-1847,raptors,34.19935,-84.41993,street address (ZIP-level coordinate),On Georgia DNR Wildlife Resources Division permitted rehabilitators list — official state agency source,https://gadnrle.org/sites/default/files/le/pdf/Special-Permits/2024%20-3%20%20Q3.3%20July.pdf
Organization,"Wild Nest Bird Rehab, Inc.",500 South Columbia Drive,Decatur,DeKalb,GA,30030,404-969-2324,all birds,33.77255,-84.29172,street address (ZIP-level coordinate),On Georgia DNR Wildlife Resources Division permitted rehabilitators list — official state agency source,https://gadnrle.org/sites/default/files/le/pdf/Special-Permits/2024%20-3%20%20Q3.3%20July.pdf
Organization,Tugaloo Animal Hospital,5648 Vickery Street,Lavonia,Franklin,GA,30553,706-356-1467,raptors,34.40803,-83.14424,street address (ZIP-level coordinate),On Georgia DNR Wildlife Resources Division permitted rehabilitators list — official state agency source,https://gadnrle.org/sites/default/files/le/pdf/Special-Permits/2024%20-3%20%20Q3.3%20July.pdf
Organization,Philema Animal Clinic,1491 Philema Road S,Leesburg,Lee,GA,31763,229-439-2266,all birds,31.76372,-84.16036,street address (ZIP-level coordinate),On Georgia DNR Wildlife Resources Division permitted rehabilitators list — official state agency source,https://gadnrle.org/sites/default/files/le/pdf/Special-Permits/2024%20-3%20%20Q3.3%20July.pdf
Organization,AWARE Wildlife Center,4158 Klondike Road,Lithonia,DeKalb,GA,30038,678-418-1111,all birds,33.66751,-84.14482,street address (ZIP-level coordinate),On Georgia DNR Wildlife Resources Division permitted rehabilitators list — official state agency source,https://gadnrle.org/sites/default/files/le/pdf/Special-Permits/2024%20-3%20%20Q3.3%20July.pdf
Organization,Chattahoochee Nature Center,9135 Willeo Road,Roswell,Fulton,GA,30075,770-992-2055 x239,raptors,34.0552,-84.37047,street address (ZIP-level coordinate),On Georgia DNR Wildlife Resources Division permitted rehabilitators list — official state agency source,https://gadnrle.org/sites/default/files/le/pdf/Special-Permits/2024%20-3%20%20Q3.3%20July.pdf
Organization,Feather and Fur Animal Hospital,25 Kaneohe Bay Dr,Kailua,Honolulu,HI,96734,(808) 254-1548,shorebirds/seabirds,21.59564,-158.03912,street address (ZIP-level coordinate),Listed on official Hawaii DLNR Division of Forestry & Wildlife downed-wildlife contact list,https://dlnr.hawaii.gov/wildlife/downed-wildlife-contact-details/
Organization,Hawai'i Wildlife Center,53-324 Lighthouse Rd,Kapa'au,Hawaii,HI,96755,(808) 884-5000,all birds,20.2261,-155.77696,street address (ZIP-level coordinate),Listed on official Hawaii DLNR Division of Forestry & Wildlife downed-wildlife contact list,https://dlnr.hawaii.gov/wildlife/downed-wildlife-contact-details/
Organization,Save Our Shearwaters,3-825 Kaumualii Hwy (Kauai Humane Society),Lihue,Kauai,HI,96766,(808) 635-5117,all birds,22.07055,-159.43033,street address (ZIP-level coordinate),Listed on official Hawaii DLNR Division of Forestry & Wildlife downed-wildlife contact list,https://dlnr.hawaii.gov/wildlife/downed-wildlife-contact-details/
Individual,Cassidy Wendl,,,Audubon,IA,,(515) 709-0000,all birds,41.66193,-94.95689,county,On Iowa DNR licensed wildlife rehabilitators list — official state agency source,https://www.iowadnr.gov/media/1619/download?inline=
Individual,Deb Fink,,,Dallas,IA,,(515) 371-4717,all birds,41.67412,-94.03012,county,On Iowa DNR licensed wildlife rehabilitators list — official state agency source,https://www.iowadnr.gov/media/1619/download?inline=
Individual,Glenda Frank,,,Dickinson,IA,,(712) 832-9509,all birds,43.38692,-95.11692,county,On Iowa DNR licensed wildlife rehabilitators list — official state agency source,https://www.iowadnr.gov/media/1619/download?inline=
Individual,Jamie Winkowitsch,,,Butler,IA,,(641) 751-5277,songbirds,42.71474,-92.80772,county,On Iowa DNR licensed wildlife rehabilitators list — official state agency source,https://www.iowadnr.gov/media/1619/download?inline=
Individual,Tammy Rons,,,Story,IA,,(515) 233-1379,all birds,42.01886,-93.50123,county,On Iowa DNR licensed wildlife rehabilitators list — official state agency source,https://www.iowadnr.gov/media/1619/download?inline=
Organization,Iowa Wildlife Center,328 Main Street,Ames,Story,IA,50010,(515) 233-1379,all birds,42.03788,-93.60025,street address (ZIP-level coordinate),On Iowa DNR licensed wildlife rehabilitators list — official state agency source,https://www.iowadnr.gov/media/1619/download?inline=
Organization,Iowa Bird Rehabilitation,3108 49th Street,Des Moines,Polk,IA,50310,(847) 308-4888,all birds,41.62344,-93.68095,street address (ZIP-level coordinate),On Iowa DNR licensed wildlife rehabilitators list — official state agency source,https://www.iowadnr.gov/media/1619/download?inline=
Organization,Buchanan County Conservation Board,1883 125th Street,Hazleton,Buchanan,IA,50641,(319) 636-2617,raptors,42.57426,-91.92411,street address (ZIP-level coordinate),On Iowa DNR licensed wildlife rehabilitators list — official state agency source,https://www.iowadnr.gov/media/1619/download?inline=
Organization,WildThunder Wildlife and Animal Rehabilitation,2584 Henley Avenue,Independence,Buchanan,IA,50644,(319) 521-2032,"raptors, waterfowl",42.50606,-91.81214,street address (ZIP-level coordinate),On Iowa DNR licensed wildlife rehabilitators list — official state agency source,https://www.iowadnr.gov/media/1619/download?inline=
Organization,"Woodland Vet, Ltd",6501 Jubilee Road,La Porte City,Black Hawk,IA,50651,(319) 342-3808,all birds,42.36956,-92.2061,street address (ZIP-level coordinate),On Iowa DNR licensed wildlife rehabilitators list — official state agency source,https://www.iowadnr.gov/media/1619/download?inline=
Organization,Homestead Small Animal Practice,205 11th Street SW,Spencer,Clay,IA,51301,(712) 262-8990,all birds,43.13291,-95.17791,street address (ZIP-level coordinate),On Iowa DNR licensed wildlife rehabilitators list — official state agency source,https://www.iowadnr.gov/media/1619/download?inline=
Organization,American Heritage Wildlife Foundation,59895 Hwy 200,Clark Fork,Bonner,ID,83811,208-266-1488,all birds,48.11589,-116.12898,street address (ZIP-level coordinate),"Supplemental (airforwildlife.org); licensed IDFG-permitted nonprofit wildlife rehab, ahwf.org (Clark Fork, Bonner Co., est. 2001)",https://www.airforwildlife.org
Organization,Flint Creek Wildlife Rehabilitation,117 S Cook St #145,Barrington,Lake,IL,60010,847/842-8000,all birds,42.2735,-88.07258,street address (ZIP-level coordinate),Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Beverly Shofstall,,Carterville,Williamson,IL,,618/988-1067,all birds,37.77479,-89.09779,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Liselotte Quick,,Centralia,Washington,IL,,618/533-2011,all birds,38.52412,-89.13648,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,"Brian Rooney, DVM","8120 S. Cass Avenue, Darien, IL 60561",Darien,DuPage,IL,60561,630/598-0600,all birds,41.74344,-87.98046,street address (ZIP-level coordinate),Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Organization,Illinois Raptor Center,5695 W Hill Rd,Decatur,Macon,IL,62522,217/963-6909,all birds,39.86562,-89.0187,street address (ZIP-level coordinate),Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Organization,Treehouse Wildlife Center,23956 Green Acres Rd,Dow,Jersey,IL,62022,618/466-2990,all birds,38.99275,-90.3165,street address (ZIP-level coordinate),Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Organization,Hoo Haven Wildlife Rehabilitation,10823 Cleveland Rd,Durand,Winnebago,IL,61024,815/629-2212,all birds,42.43469,-89.21338,street address (ZIP-level coordinate),Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Elizabeth Hosler,,Elmhurst,DeKalb,IL,,630/235-5581,all birds,41.89266,-87.94102,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Ashley Woltman,,Glen Ellyn,DeKalb,IL,,630/336-9101,all birds,41.86611,-88.06477,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Sandy Woltman,,Glen Ellyn,DeKalb,IL,,630/336-9101,all birds,41.86611,-88.06477,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Organization,DuPage Wildlife Conservation Center,525 S Park Blvd,Glen Ellyn,DuPage,IL,60137,630/942-6200,all birds,41.87203,-88.02939,street address (ZIP-level coordinate),Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Tamara Hanley,,Hopedale,Tazewell,IL,,309/449-5799,all birds,40.42732,-89.4214,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Ginnie Underwood,,Hudson,McLean,IL,,309/726-2204,all birds,40.62049,-88.97593,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Candace Ridlbauer,,Loves Park,Winnebago,IL,,815/633-9193,all birds,42.32952,-89.03352,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Gail MacPherson,,Mackinaw,Tazewell,IL,,309/573-3131,all birds,40.53964,-89.34579,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Billie Banks,,Monee,Will,IL,,708/534-8801,all birds,41.41913,-87.77484,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Randy Brunswick,,Normal,McLean,IL,,309/454-2458,all birds,40.51245,-88.98829,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Mary Grabowski,,North Aurora,Kane,IL,,630/701-1372,all birds,41.80893,-88.32742,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Lee Ann Johnson,,Oglesby,LaSalle,IL,,815/224-0308,all birds,41.29277,-89.05534,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Ed White,,Paris,Edgar,IL,,812/243-0622,all birds,39.61322,-87.69763,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Ann Whitney,,Pecatonica,Winnebago,IL,,815/742-9119,all birds,42.30511,-89.34722,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Organization,Peoria Zoo,2320 N Prospect Rd,Peoria,Peoria,IL,61603,309/686-3365,all birds,40.77985,-89.55406,street address (ZIP-level coordinate),Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Beth Giordano,,Princeton,Bureau,IL,,815/712-4464,all birds,41.36293,-89.42702,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Sarah Geiger,,Princeton,Bureau,IL,,815/876-6361,all birds,41.36293,-89.42702,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,"Jennifer Boonstra, DVM",,Rockford,Winnebago,IL,,847/912-6328,all birds,42.29223,-89.11612,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Robert Skavlem,,South Elgin,Kane,IL,,847/697-2880,all birds,41.99687,-88.29856,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Wendy Kvapil,,South Elgin,Kane,IL,,847/697-2880,all birds,41.99687,-88.29856,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Victoria Geise,,St. Charles,Kane,IL,,708/220-1420,all birds,41.91942,-88.30702,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,"Robert Harms, DVM","701 Oakley Ave, Streator, IL 61364",Streator,LaSalle,IL,61364,815/672-4576,all birds,41.16418,-88.85632,street address (ZIP-level coordinate),Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Organization,Oaken Acres Wildlife Center,12140 Aldrich Rd,Sycamore,DeKalb,IL,60178,815/895-9666,all birds,41.89369,-88.68562,street address (ZIP-level coordinate),Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Richard Borquist,,Varna,Marshall,IL,,309/369-4293,all birds,41.03272,-89.24833,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Individual,Hannah Thomson,,West Salem,Edwards,IL,,618/302-4612,all birds,38.51827,-88.0323,city,Kept: listed on official Illinois DNR wildlife rehabilitation permit list,https://dnr.illinois.gov/content/dam/soi/en/web/dnr/lawenforcement/documents/illinoiswildliferehabilitationlist.pdf
Organization,"WildCare, Inc",198 N Hartstrait Rd,Bloomington,Monroe,IN,47404,812-323-1313,"songbirds, waterfowl, shorebirds/seabirds",39.25007,-86.58085,street address (ZIP-level coordinate),Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Organization,Wildcare Inc,198 N Hartstrait Rd,Bloomington,Monroe,IN,47404,812-323-1313,"songbirds, waterfowl, shorebirds/seabirds",39.25007,-86.58085,street address (ZIP-level coordinate),Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Organization,Wildcat Wildlife Center,4709 N 400 W,Delphi,Carroll,IN,46923,765-491-2351,all birds,40.58045,-86.63789,street address (ZIP-level coordinate),Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Individual,Emily Bryan,,Ft. Wayne,Allen,IN,,260-668-9791,songbirds,41.0716,-85.1367,city,Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Individual,Stephanie Gratton,,Goshen,Elkhart,IN,,574-214-5563,"songbirds, waterfowl",41.58448,-85.83799,city,Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Organization,Utopia Wildlife Rehabilitators,18300 E County Rd 200 N,Hope,Bartholomew,IN,47246,812-546-6318,all birds,39.20336,-85.78761,street address (ZIP-level coordinate),Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Individual,Rose Hensel,,Lanesville,Floyd,IN,,812-949-8618,"songbirds, waterfowl, shorebirds/seabirds",38.24482,-85.95931,city,Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Organization,Westchester Animal Clinic,55 E US Hwy 20,Porter,Porter,IN,46304,219-926-1194,all birds,41.49895,-87.08702,street address (ZIP-level coordinate),Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Organization,Animal Care Alliance,1353 Abington Pike,Richmond,Wayne,IN,47374,765-488-2444,"raptors, songbirds",39.84081,-85.01044,street address (ZIP-level coordinate),Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Individual,Kim Hoover,,Star City,Pulaski,IN,,574-265-8456,raptors,40.96018,-86.54041,city,Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Individual,Karen White,,Terre Haute,Vigo,IN,,812-243-0622,all birds,39.46665,-87.4103,city,Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Organization,Arborview Animal Hospital,244 W US Hwy 6,Valparaiso,Porter,IN,46385,219-762-7267,all birds,41.47057,-87.07831,street address (ZIP-level coordinate),Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Organization,Humane Indiana Wildlife - Moraine Ridge Wildlife Rehab Center,570 North 450 East,Valparaiso,Porter,IN,46383,219-299-8027,all birds,41.45473,-87.06557,street address (ZIP-level coordinate),Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Organization,Southlane Veterinary Hospital,1259 Sturdy Road,Valparaiso,Porter,IN,46383,219-462-4114,all birds,41.45473,-87.06557,street address (ZIP-level coordinate),Listed on the official Indiana DNR permitted wildlife rehabilitators list (in.gov DNR).,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/
Individual,Kimberly Lambert,,Clyde,Statewide,KS,,785-614-1461,non-migratory birds,39.57584,-97.408,city,On Kansas Dept. of Wildlife & Parks rehabilitators list — official state agency source,https://www.ksoutdoors.gov/home/showpublisheddocument/2372/639136942782630000
Organization,Great Bend Zoo and Raptor Center,2123 Main Street,Great Bend,Barton,KS,67530,620-793-4226,raptors,38.39357,-98.77507,street address (ZIP-level coordinate),On Kansas Dept. of Wildlife & Parks rehabilitators list — official state agency source,https://www.ksoutdoors.gov/home/showpublisheddocument/2372/639136942782630000
Organization,Hutchinson Zoo,6 Emerson Loop East,Hutchinson,Reno,KS,67501,620-694-2672,all birds,37.95431,-97.88569,street address (ZIP-level coordinate),On Kansas Dept. of Wildlife & Parks rehabilitators list — official state agency source,https://www.ksoutdoors.gov/home/showpublisheddocument/2372/639136942782630000
Organization,Milford Nature Center,3415 Hatchery Drive,Junction City,Geary,KS,66441,785-223-2273,all birds,39.02647,-96.78336,street address (ZIP-level coordinate),On Kansas Dept. of Wildlife & Parks rehabilitators list — official state agency source,https://www.ksoutdoors.gov/home/showpublisheddocument/2372/639136942782630000
Organization,Operation Wildlife Inc.,23375 Guthrie Road,Linwood,Leavenworth,KS,66052,785-542-3625,all birds,39.00755,-95.05604,street address (ZIP-level coordinate),On Kansas Dept. of Wildlife & Parks rehabilitators list — official state agency source,https://www.ksoutdoors.gov/home/showpublisheddocument/2372/639136942782630000
Individual,Sally Imhof,,Mulberry,Crawford,KS,,620-764-3123,"raptors, songbirds",37.5442,-94.6839,city,On Kansas Dept. of Wildlife & Parks rehabilitators list — official state agency source,https://www.ksoutdoors.gov/home/showpublisheddocument/2372/639136942782630000
Individual,Kathy Caminiti,,,Boone,KY,,859-466-8873,raptors,38.97406,-84.70811,county,Listed on the official Kentucky Dept. of Fish & Wildlife Resources rehabilitator directory (app.fw.ky.gov).,https://app.fw.ky.gov/rehabilitatorNew/
Individual,Mitchum Whitaker,,,Letcher,KY,,606-821-5602,raptors,37.13597,-82.82721,county,Listed on the official Kentucky Dept. of Fish & Wildlife Resources rehabilitator directory (app.fw.ky.gov).,https://app.fw.ky.gov/rehabilitatorNew/
Organization,Guardian Animal Medical Center,918 Bellefonte Rd,Flatwoods,Greenup,KY,41139,606-928-6566,all birds,38.50316,-82.72818,street address (ZIP-level coordinate),Listed on the official Kentucky Dept. of Fish & Wildlife Resources rehabilitator directory (app.fw.ky.gov).,https://app.fw.ky.gov/rehabilitatorNew/
Individual,Dale Barry,,,Ouachita,LA,,(318) 343-3042,all birds,32.54142,-92.15753,county,Kept: listed on official Louisiana Dept. of Wildlife & Fisheries permitted wildlife rehabilitators list,https://www.wlf.louisiana.gov/page/permitted-wildlife-rehabilitators
Individual,"Gia C. Morgan, DVM",,,Caddo,LA,,(318) 405-2282,all birds,32.685,-93.91541,county,Kept: listed on official Louisiana Dept. of Wildlife & Fisheries permitted wildlife rehabilitators list,https://www.wlf.louisiana.gov/page/permitted-wildlife-rehabilitators
Individual,Julie Rabalais,,,Lafayette,LA,,(337) 501-4523,"songbirds, waterfowl, shorebirds/seabirds",30.18931,-92.04818,county,Kept: listed on official Louisiana Dept. of Wildlife & Fisheries permitted wildlife rehabilitators list,https://www.wlf.louisiana.gov/page/permitted-wildlife-rehabilitators
Individual,Leslie Lattimore,,,Livingston,LA,,(225) 698-3168,raptors,30.47231,-90.75853,county,Kept: listed on official Louisiana Dept. of Wildlife & Fisheries permitted wildlife rehabilitators list,https://www.wlf.louisiana.gov/page/permitted-wildlife-rehabilitators
Individual,Letitia Labbie,,,Lafayette,LA,,(337) 288-5146,raptors,30.18931,-92.04818,county,Kept: listed on official Louisiana Dept. of Wildlife & Fisheries permitted wildlife rehabilitators list,https://www.wlf.louisiana.gov/page/permitted-wildlife-rehabilitators
Organization,LSU School of Veterinary Medicine,1909 Skip Bertman Dr,Baton Rouge,East Baton Rouge,LA,70803,(225) 578-9600,all birds,30.405,-91.18683,street address (ZIP-level coordinate),Kept: listed on official Louisiana Dept. of Wildlife & Fisheries permitted wildlife rehabilitators list,https://www.wlf.louisiana.gov/page/permitted-wildlife-rehabilitators
Organization,New England Wildlife Center,4011 Main Street,Barnstable,Barnstable,MA,02630,508-362-0111,all birds,41.69731,-70.30139,street address (ZIP-level coordinate),"Official MassWildlife licensed rehabilitator list (ArcGIS All_Rehabbers layer, linked from mass.gov) (general wildlife rehabilitator/center)",https://services.arcgis.com/QVENGdaPbd4LUkLV/ArcGIS/rest/services/All_Rehabbers_2024_1010/FeatureServer/0/query (MassWildlife official rehabber layer; linked from https://www.mass.gov/info-details/find-a-wildlife-rehabilitator)
Organization,Wild Care,10 Smith Lane,Eastham,Barnstable,MA,02642,508-240-2255,all birds,41.85061,-70.02065,street address (ZIP-level coordinate),"Official MassWildlife licensed rehabilitator list (ArcGIS All_Rehabbers layer, linked from mass.gov) (general wildlife rehabilitator/center)",https://services.arcgis.com/QVENGdaPbd4LUkLV/ArcGIS/rest/services/All_Rehabbers_2024_1010/FeatureServer/0/query (MassWildlife official rehabber layer; linked from https://www.mass.gov/info-details/find-a-wildlife-rehabilitator)
Organization,Mass Audubon Wildlife Care,208 South Great Road,Lincoln,Middlesex,MA,01773,781-259-2161,all birds,42.4464,-71.45941,street address (ZIP-level coordinate),"Official MassWildlife licensed rehabilitator list (ArcGIS All_Rehabbers layer, linked from mass.gov) (general wildlife rehabilitator/center)",https://services.arcgis.com/QVENGdaPbd4LUkLV/ArcGIS/rest/services/All_Rehabbers_2024_1010/FeatureServer/0/query (MassWildlife official rehabber layer; linked from https://www.mass.gov/info-details/find-a-wildlife-rehabilitator)
Organization,Cummings School of Veterinary Medicine at Tufts University,200 Westboro Road,North Grafton,Worcester,MA,01536,508-839-7918,all birds,42.40756,-71.8604,street address (ZIP-level coordinate),"Official MassWildlife licensed rehabilitator list (ArcGIS All_Rehabbers layer, linked from mass.gov) (general wildlife rehabilitator/center)",https://services.arcgis.com/QVENGdaPbd4LUkLV/ArcGIS/rest/services/All_Rehabbers_2024_1010/FeatureServer/0/query (MassWildlife official rehabber layer; linked from https://www.mass.gov/info-details/find-a-wildlife-rehabilitator)
Organization,DiBoot Veterinary Services,46 Leslie Rd,Rowley,Essex,MA,01969,978-948-2118,all birds,42.71616,-70.89275,street address (ZIP-level coordinate),"Official MassWildlife licensed rehabilitator list (ArcGIS All_Rehabbers layer, linked from mass.gov) (general wildlife rehabilitator/center)",https://services.arcgis.com/QVENGdaPbd4LUkLV/ArcGIS/rest/services/All_Rehabbers_2024_1010/FeatureServer/0/query (MassWildlife official rehabber layer; linked from https://www.mass.gov/info-details/find-a-wildlife-rehabilitator)
