common_name,scientific_name,ebird_species_code
Abert's Towhee,Melozone aberti,abetow
Acadian Flycatcher,Empidonax virescens,acafly
Accipiter sp.,Accipiter sp.,accipi
Acorn Woodpecker,Melanerpes formicivorus,acowoo
African Collared-Dove,Streptopelia roseogrisea,afcdov1
African Sacred Ibis,Threskiornis aethiopicus,sacibi2
African Silverbill,Euodice cantans,afrsil1
Akekee,Loxops caeruleirostris,akekee
Akiapolaau,Hemignathus wilsoni,akiapo
Akikiki,Oreomystis bairdi,akikik
Akohekohe,Palmeria dolei,crehon
albatross sp.,Diomedeidae sp.,albatr1
alcid sp.,Alcidae sp.,alcid
Alder Flycatcher,Empidonax alnorum,aldfly
Aleutian Tern,Onychoprion aleuticus,aleter1
Allen's Hummingbird,Selasphorus sasin,allhum
Altamira Oriole,Icterus gularis,altori
Amazona sp.,Amazona sp.,amazon
Amazon Kingfisher,Chloroceryle amazona,amakin1
American Avocet,Recurvirostra americana,ameavo
American Bittern,Botaurus lentiginosus,amebit
American Black Duck,Anas rubripes,ambduc
American Coot,Fulica americana,y00475
American Crow,Corvus brachyrhynchos,amecro
American Dipper,Cinclus mexicanus,amedip
American Flamingo,Phoenicopterus ruber,grefla2
American Golden-Plover,Pluvialis dominica,amgplo
American Goldfinch,Spinus tristis,amegfi
American Kestrel,Falco sparverius,amekes
American Oystercatcher,Haematopus palliatus,ameoys
American Pipit,Anthus rubescens,amepip
American Redstart,Setophaga ruticilla,amered
American Robin,Turdus migratorius,amerob
American Three-toed Woodpecker,Picoides dorsalis,attwoo1
American Tree Sparrow,Spizelloides arborea,amtspa
American White Pelican,Pelecanus erythrorhynchos,amwpel
American Wigeon,Mareca americana,amewig
American Woodcock,Scolopax minor,amewoo
Amethyst-throated Mountain-gem,Lampornis amethystinus,amthum1
Ammospiza sp.,Ammospiza sp.,ammosp1
Anas sp.,Anas sp.,anas1
Ancient Murrelet,Synthliboramphus antiquus,ancmur
Anhinga,Anhinga anhinga,anhing
Anianiau,Magumma parva,aniani
Anna's Hummingbird,Calypte anna,annhum
Anser sp.,Anser sp.,anser1
Antillean Nighthawk,Chordeiles gundlachii,antnig
Antillean Palm-Swift,Tachornis phoenicobia,anpswi
Antrostomus sp.,Antrostomus sp.,antros1
Apapane,Himatione sanguinea,apapan
Aphelocoma sp.,Aphelocoma sp.,scrjay
Aplomado Falcon,Falco femoralis,aplfal
Arctic Loon,Gavia arctica,arcloo
Arctic Tern,Sterna paradisaea,arcter
Arctic Warbler,Phylloscopus borealis,arcwar1
Ardea sp.,Ardea sp.,ardea1
Arizona Woodpecker,Dryobates arizonae,ariwoo
Ash-throated Flycatcher,Myiarchus cinerascens,astfly
Ashy Storm-Petrel,Oceanodroma homochroa,asspet
Asian Brown Flycatcher,Muscicapa dauurica,asbfly
Asian Rosy-Finch,Leucosticte arctoa,asrfin1
Asio sp.,Asio sp.,asio1
Atlantic Puffin,Fratercula arctica,atlpuf
Audubon's Oriole,Icterus graduacauda,audori
Audubon's Shearwater,Puffinus lherminieri,audshe
auklet sp.,Ptychoramphus/Aethia sp.,auklet
Aythya sp.,Aythya sp.,aythya1
Aztec Thrush,Ridgwayia pinicola,aztthr
Azure Gallinule,Porphyrio flavirostris,azugal1
Bachman's Sparrow,Peucaea aestivalis,bacspa
Bahama Mockingbird,Mimus gundlachii,bahmoc
Bahama Swallow,Tachycineta cyaneoviridis,bahswa
Bahama Woodstar,Nesophlox evelynae,bahwoo
Baikal Teal,Sibirionetta formosa,baitea
Baillon's Crake,Zapornia pusilla,baicra1
Baird's Sandpiper,Calidris bairdii,baisan
Baird's Sparrow,Centronyx bairdii,baispa
Bald Eagle,Haliaeetus leucocephalus,baleag
Baltimore Oriole,Icterus galbula,balori
Bananaquit,Coereba flaveola,banana
Band-rumped Storm-Petrel,Oceanodroma castro,barpet
Band-tailed Pigeon,Patagioenas fasciata,batpig1
Bank Swallow,Riparia riparia,banswa
Bare-throated Tiger-Heron,Tigrisoma mexicanum,btther1
Barnacle Goose,Branta leucopsis,bargoo
Barn Owl,Tyto alba,brnowl
Barn Swallow,Hirundo rustica,barswa
Barolo Shearwater,Puffinus baroli,litshe1
Barred Owl,Strix varia,brdowl
Barrow's Goldeneye,Bucephala islandica,bargol
Bar-tailed Godwit,Limosa lapponica,batgod
Bay-breasted Warbler,Setophaga castanea,babwar
Belcher's Gull,Larus belcheri,belgul
Bell's Sparrow,Artemisiospiza belli,belspa2
Bell's Vireo,Vireo bellii,belvir
Belted Kingfisher,Megaceryle alcyon,belkin1
Bendire's Thrasher,Toxostoma bendirei,benthr
Bermuda Petrel,Pterodroma cahow,berpet
Berylline Hummingbird,Amazilia beryllina,berhum
Bewick's Wren,Thryomanes bewickii,bewwre
Bicknell's Thrush,Catharus bicknelli,bicthr
bird sp.,Aves sp.,bird1
black-and-white shearwater sp.,Puffinus sp. (black-and-white shearwater sp.),bawshe1
Black-and-white Warbler,Mniotilta varia,bawwar
Black-backed Oriole,Icterus abeillei,blbori1
Black-backed Woodpecker,Picoides arcticus,bkbwoo
Black-bellied Plover,Pluvialis squatarola,bkbplo
Black-bellied Storm-Petrel,Fregetta tropica,bbspet1
Black-bellied Whistling-Duck,Dendrocygna autumnalis,bbwduc
Black-billed Cuckoo,Coccyzus erythropthalmus,bkbcuc
Black-billed Magpie,Pica hudsonia,bkbmag1
blackbird sp.,Icteridae sp.,blackb
Black-browed Albatross,Thalassarche melanophris,bkbalb
Blackburnian Warbler,Setophaga fusca,bkbwar
Black-capped Chickadee,Poecile atricapillus,bkcchi
Black-capped Gnatcatcher,Polioptila nigriceps,bkcgna
Black-capped Petrel,Pterodroma hasitata,bkcpet
Black-capped Vireo,Vireo atricapilla,bkcvir1
Black-chinned Hummingbird,Archilochus alexandri,bkchum
Black-chinned Sparrow,Spizella atrogularis,bkcspa
Black-crested Titmouse,Baeolophus atricristatus,blctit4
Black-crowned Night-Heron,Nycticorax nycticorax,bcnher
Black-faced Grassquit,Melanospiza bicolor,bkfgra
Black-faced Munia,Lonchura molucca,blfmun1
Black-footed Albatross,Phoebastria nigripes,bkfalb
Black Francolin,Francolinus francolinus,blkfra
Black Guillemot,Cepphus grylle,blkgui
Black-headed Grosbeak,Pheucticus melanocephalus,bkhgro
Black-headed Gull,Chroicocephalus ridibundus,bkhgul
Black-headed Nightingale-Thrush,Catharus mexicanus,bhnthr1
Black Kite,Milvus migrans,blakit1
Black-legged Kittiwake,Rissa tridactyla,bklkit
Black-necked Stilt,Himantopus mexicanus,bknsti
Black-necked Stork,Ephippiorhynchus asiaticus,blnsto1
Black-necked Swan,Cygnus melancoryphus,blnswa2
Black Noddy,Anous minutus,blknod
Black Oystercatcher,Haematopus bachmani,blkoys
Black Phoebe,Sayornis nigricans,blkpho
Blackpoll Warbler,Setophaga striata,bkpwar
Black Rail,Laterallus jamaicensis,blkrai
Black Rosy-Finch,Leucosticte atrata,bkrfin
Black-rumped Waxbill,Estrilda troglodytes,bkrwax
Black Scoter,Melanitta americana,blksco2
Black Skimmer,Rynchops niger,blkski
Black Storm-Petrel,Oceanodroma melania,bkspet
Black Swan,Cygnus atratus,blkswa
Black Swift,Cypseloides niger,blkswi
Black-tailed Gnatcatcher,Polioptila melanura,bktgna
Black-tailed Godwit,Limosa limosa,bktgod
Black-tailed Gull,Larus crassirostris,bktgul
Black Tern,Chlidonias niger,blkter
Black-throated Blue Warbler,Setophaga caerulescens,btbwar
Black-throated Gray Warbler,Setophaga nigrescens,btywar
Black-throated Green Warbler,Setophaga virens,btnwar
Black-throated Magpie-Jay,Calocitta colliei,btmjay
Black-throated Sparrow,Amphispiza bilineata,bktspa
Black Turnstone,Arenaria melanocephala,blktur
Black-vented Oriole,Icterus wagleri,bkvori
Black-vented Shearwater,Puffinus opisthomelas,bkvshe
Black Vulture,Coragyps atratus,blkvul
Black-whiskered Vireo,Vireo altiloquus,bkwvir
Black-winged Petrel,Pterodroma nigripennis,bkwpet
Black-winged Stilt,Himantopus himantopus,bkwsti
Blue-and-white Swallow,Pygochelidon cyanoleuca,bawswa1
Blue-and-yellow Macaw,Ara ararauna,baymac
bluebird sp.,Sialia sp.,bluebi
Blue-breasted Quail,Synoicus chinensis,blbqua1
Blue Bunting,Cyanocompsa parellina,blubun
Blue-crowned Parakeet,Thectocercus acuticaudatus,bucpar
Blue-footed Booby,Sula nebouxii,bfoboo
Blue-gray Gnatcatcher,Polioptila caerulea,buggna
Blue-gray Noddy,Anous ceruleus,bugnod
Blue Grosbeak,Passerina caerulea,blugrb1
Blue-headed Parrot,Pionus menstruus,blhpar1
Blue-headed Vireo,Vireo solitarius,buhvir
Blue Jay,Cyanocitta cristata,blujay
Blue Mockingbird,Melanotis caerulescens,blumoc
Bluethroat,Luscinia svecica,blueth
Blue-throated Mountain-gem,Lampornis clemenciae,buthum
Blue-winged Teal,Spatula discors,buwtea
Blue-winged Warbler,Vermivora cyanoptera,buwwar
Blyth's Reed Warbler,Acrocephalus dumetorum,blrwar1
Boat-tailed Grackle,Quiscalus major,botgra
Bobolink,Dolichonyx oryzivorus,boboli
Bohemian Waxwing,Bombycilla garrulus,bohwax
Bonaparte's Gull,Chroicocephalus philadelphia,bongul
Bonin Petrel,Pterodroma hypoleuca,bonpet
booby sp.,Sula sp.,booby1
Boreal Chickadee,Poecile hudsonicus,borchi2
Boreal Owl,Aegolius funereus,borowl
Botteri's Sparrow,Peucaea botterii,botspa
Brambling,Fringilla montifringilla,brambl
Brandt's Cormorant,Phalacrocorax penicillatus,bracor
Brant,Branta bernicla,brant
Branta sp.,Branta sp.,branta1
Brewer's Blackbird,Euphagus cyanocephalus,brebla
Brewer's Sparrow,Spizella breweri,brespa
Bridled Tern,Onychoprion anaethetus,briter1
Bridled Titmouse,Baeolophus wollweberi,britit
Bristle-thighed Curlew,Numenius tahitiensis,brtcur
Broad-billed Hummingbird,Cynanthus latirostris,brbhum
Broad-billed Sandpiper,Calidris falcinellus,brbsan
Broad-tailed Hummingbird,Selasphorus platycercus,brthum
Broad-winged Hawk,Buteo platypterus,brwhaw
Bronzed Cowbird,Molothrus aeneus,brocow
Bronze Mannikin,Spermestes cucullata,broman1
Brotogeris sp.,Brotogeris sp.,brotog1
Brown-backed Solitaire,Myadestes occidentalis,brbsol1
Brown Booby,Sula leucogaster,brnboo
Brown-capped Rosy-Finch,Leucosticte australis,bcrfin
Brown-chested Martin,Progne tapera,brcmar1
Brown Creeper,Certhia americana,brncre
Brown-crested Flycatcher,Myiarchus tyrannulus,bncfly
Brown-headed Cowbird,Molothrus ater,bnhcow
Brown-headed Nuthatch,Sitta pusilla,bnhnut
Brown Jay,Psilorhinus morio,brnjay
Brown Noddy,Anous stolidus,brnnod
Brown Pelican,Pelecanus occidentalis,brnpel
Brown Shrike,Lanius cristatus,brnshr
Brown Thrasher,Toxostoma rufum,brnthr
Bubo sp.,Bubo sp.,bubo1
Budgerigar,Melopsittacus undulatus,budger
Buff-bellied Hummingbird,Amazilia yucatanensis,bubhum
Buff-breasted Flycatcher,Empidonax fulvifrons,bubfly
Buff-breasted Sandpiper,Calidris subruficollis,bubsan
Buff-collared Nightjar,Antrostomus ridgwayi,bucnig
Bufflehead,Bucephala albeola,buffle
Buller's Shearwater,Ardenna bulleri,bulshe
Bullock's Oriole,Icterus bullockii,bulori
Bulwer's Petrel,Bulweria bulwerii,bulpet
Burrowing Owl,Athene cunicularia,burowl
Burrowing Parakeet,Cyanoliseus patagonus,burpar
Bushtit,Psaltriparus minimus,bushti
Buteo sp.,Buteo sp.,buteo
Cackling Goose,Branta hutchinsii,cacgoo1
Cactus Wren,Campylorhynchus brunneicapillus,cacwre
Calidris sp.,Calidris sp.,calidr1
California Condor,Gymnogyps californianus,calcon
California Gnatcatcher,Polioptila californica,calgna
California Gull,Larus californicus,calgul
California Quail,Callipepla californica,calqua
California Scrub-Jay,Aphelocoma californica,cowscj1
California Thrasher,Toxostoma redivivum,calthr
California Towhee,Melozone crissalis,caltow
Calliope Hummingbird,Selasphorus calliope,calhum
Canada Goose,Branta canadensis,cangoo
Canada Jay,Perisoreus canadensis,gryjay
Canada Warbler,Cardellina canadensis,canwar
Canvasback,Aythya valisineria,canvas
Canyon Towhee,Melozone fusca,cantow
Canyon Wren,Catherpes mexicanus,canwre
Cape May Warbler,Setophaga tigrina,camwar
Cape Verde Shearwater,Calonectris edwardsii,cavshe1
Caprimulgus sp.,Caprimulgus sp.,caprim1
Carolina Chickadee,Poecile carolinensis,carchi
Carolina Wren,Thryothorus ludovicianus,carwre
Caspian Tern,Hydroprogne caspia,caster1
Cassia Crossbill,Loxia sinesciuris,redcro9
Cassin's Auklet,Ptychoramphus aleuticus,casauk
Cassin's Finch,Haemorhous cassinii,casfin
Cassin's Kingbird,Tyrannus vociferans,caskin
Cassin's Sparrow,Peucaea cassinii,casspa
Cassin's Vireo,Vireo cassinii,casvir
Cathartes sp.,Cathartes sp.,cathar1
Catharus sp.,Catharus sp.,cathus
Cattle Egret,Bubulcus ibis,categr
Cave Swallow,Petrochelidon fulva,cavswa
Cedar Waxwing,Bombycilla cedrorum,cedwax
Cerulean Warbler,Setophaga cerulea,cerwar
Chaetura sp.,Chaetura sp.,chaetu
Chatham Albatross,Thalassarche eremita,shyalb2
Chestnut-backed Chickadee,Poecile rufescens,chbchi
Chestnut-bellied Sandgrouse,Pterocles exustus,chbsan
Chestnut-collared Longspur,Calcarius ornatus,chclon
Chestnut-fronted Macaw,Ara severus,chfmac1
Chestnut Munia,Lonchura atricapilla,chemun
Chestnut-sided Warbler,Setophaga pensylvanica,chswar
chickadee sp.,Poecile sp.,chicka1
Chihuahuan Raven,Corvus cryptoleucus,chirav
Chimney Swift,Chaetura pelagica,chiswi
Chinese Egret,Egretta eulophotes,chiegr
Chinese Hwamei,Garrulax canorus,melthr
Chinese Pond-Heron,Ardeola bacchus,chpher1
Chinese Sparrowhawk,Accipiter soloensis,grfhaw1
Chipping Sparrow,Spizella passerina,chispa
Chlidonias sp.,Chlidonias sp.,chlido1
Christmas Shearwater,Puffinus nativitatis,chrshe
Chuck-will's-widow,Antrostomus carolinensis,chwwid
Chukar,Alectoris chukar,chukar
Cinnamon Hummingbird,Amazilia rutila,cinhum1
Cinnamon-rumped Seedeater,Sporophila torqueola,whcsee2
Cinnamon Teal,Spatula cyanoptera,cintea
Citrine Wagtail,Motacilla citreola,citwag
Clapper Rail,Rallus crepitans,clarai11
Clark's Grebe,Aechmophorus clarkii,clagre
Clark's Nutcracker,Nucifraga columbiana,clanut
Clay-colored Sparrow,Spizella pallida,clcspa
Clay-colored Thrush,Turdus grayi,clcrob
Cliff Swallow,Petrochelidon pyrrhonota,cliswa
Coccyzus sp.,Coccyzus sp.,coccyz1
Cockatiel,Nymphicus hollandicus,cockat
Colima Warbler,Leiothlypis crissalis,colwar
Collared Forest-Falcon,Micrastur semitorquatus,coffal1
Collared Plover,Charadrius collaris,colplo1
Columba sp.,Columba sp.,columb1
Common Black Hawk,Buteogallus anthracinus,comblh1
Common Buzzard,Buteo buteo,combuz1
Common Chaffinch,Fringilla coelebs,comcha
Common Chiffchaff,Phylloscopus collybita,comchi1
Common Crane,Grus grus,comcra
Common Cuckoo,Cuculus canorus,comcuc
Common Eider,Somateria mollissima,comeid
Common Gallinule,Gallinula galeata,comgal1
Common Goldeneye,Bucephala clangula,comgol
Common Grackle,Quiscalus quiscula,comgra
Common Greenshank,Tringa nebularia,comgre
Common Ground Dove,Columbina passerina,cogdov
Common Hill Myna,Gracula religiosa,hilmyn
Common House-Martin,Delichon urbicum,cohmar1
Common Loon,Gavia immer,comloo
Common Merganser,Mergus merganser,commer
Common Murre,Uria aalge,commur
Common Myna,Acridotheres tristis,commyn
Common Nighthawk,Chordeiles minor,comnig
Common Pauraque,Nyctidromus albicollis,compau
Common Pochard,Aythya ferina,compoc
Common Poorwill,Phalaenoptilus nuttallii,compoo
Common Raven,Corvus corax,comrav
Common Redpoll,Acanthis flammea,comred
Common Redstart,Phoenicurus phoenicurus,comred2
Common Ringed Plover,Charadrius hiaticula,corplo
Common Rosefinch,Carpodacus erythrinus,comros
Common Sandpiper,Actitis hypoleucos,comsan
Common Scoter,Melanitta nigra,blksco1
Common Shelduck,Tadorna tadorna,comshe
Common Snipe,Gallinago gallinago,comsni
Common Swift,Apus apus,comswi
Common Tern,Sterna hirundo,comter
Common Waxbill,Estrilda astrild,comwax
Common Yellowthroat,Geothlypis trichas,comyel
Connecticut Warbler,Oporornis agilis,conwar
Cookilaria petrel sp.,Pterodroma sp. (Cookilaria sp.),coopet1
Cook's Petrel,Pterodroma cookii,coopet
Cooper's Hawk,Accipiter cooperii,coohaw
coot sp.,Fulica sp.,coot1
Cordilleran Flycatcher,Empidonax occidentalis,corfly
cormorant sp.,Phalacrocoracidae sp.,cormor1
Corn Crake,Crex crex,corcra
Cory's Shearwater,Calonectris diomedea,corshe
Coscoroba Swan,Coscoroba coscoroba,cosswa1
Costa's Hummingbird,Calypte costae,coshum
Couch's Kingbird,Tyrannus couchii,coukin
Crane Hawk,Geranospiza caerulescens,crahaw
crane sp.,Gruidae sp.,crane1
Craveri's Murrelet,Synthliboramphus craveri,cramur
Crescent-chested Warbler,Oreothlypis superciliosa,crcwar
Crested Auklet,Aethia cristatella,creauk
